               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.013742,           0.0057844,                   0,              0.9981,                   1,               0.995,              0.8611,            0.012182,           0.0035393,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.014761,           0.0058798,                   0,             0.99822,                   1,               0.995,             0.87306,            0.011667,           0.0037405,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.015692,           0.0058127,                   0,             0.99827,                   1,               0.995,             0.87667,            0.011137,           0.0034741,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.015578,           0.0059038,                   0,             0.99808,                   1,               0.995,             0.86324,            0.012311,           0.0035795,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.015883,           0.0054295,                   0,              0.9979,                   1,               0.995,             0.87332,            0.012059,           0.0037978,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.014027,           0.0056547,                   0,             0.99771,                   1,               0.995,             0.89219,            0.010696,           0.0035926,                   0,            0.006403,            0.006403,            0.006403
                 111,             0.01427,           0.0055355,                   0,             0.99802,                   1,               0.995,             0.88421,            0.011506,           0.0036081,                   0,             0.00637,             0.00637,             0.00637
                 112,              0.0147,           0.0060434,                   0,             0.99587,                   1,               0.995,             0.89364,             0.01149,           0.0035556,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.014226,           0.0052535,                   0,             0.99777,                   1,               0.995,             0.89097,            0.011845,           0.0035227,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.013652,           0.0055022,                   0,             0.99796,                   1,               0.995,             0.87983,            0.011404,            0.003542,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.013876,            0.005397,                   0,             0.99735,                   1,               0.995,             0.89199,            0.010812,           0.0034668,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.013663,           0.0056295,                   0,             0.99812,                   1,               0.995,             0.89264,            0.011093,           0.0038432,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.014261,           0.0054867,                   0,             0.99817,                   1,               0.995,             0.85998,            0.012371,           0.0036486,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.014284,           0.0055723,                   0,             0.99819,                   1,               0.995,             0.88966,            0.011099,           0.0036915,                   0,            0.006139,            0.006139,            0.006139
                 119,             0.01367,           0.0054235,                   0,             0.99807,                   1,               0.995,             0.86776,            0.011195,            0.003574,                   0,            0.006106,            0.006106,            0.006106
